device_id,timestamp,sensor_type,ip_address,firmware_version,data_frequency_seconds,disk_free_percent,update_required,checksum_valid,status,label
raspi_016,2025-05-07 16:46:52.238642,thermique,192.168.97.37,v3.4.8,14,6.5,0,1,1,True
raspi_003,2025-05-07 16:46:54.059064,thermique,192.168.254.164,v2.5.6,15,30.6,0,1,1,False
raspi_017,2025-05-07 16:46:55.117826,cardio,192.168.207.49,v2.4.0,20,44.5,0,1,1,False
raspi_004,2025-05-07 16:46:56.839199,cardio,192.168.143.174,v1.7.2,28,52.0,0,1,1,False
raspi_008,2025-05-07 16:46:57.894425,multi,192.168.237.93,v1.7.4,15,54.3,0,1,1,False
raspi_001,2025-05-07 16:46:58.289248,cardio,192.168.69.96,v2.2.6,26,62.1,0,1,1,False
raspi_018,2025-05-07 16:46:58.601272,thermique,192.168.172.25,v2.5.0,22,5.4,1,1,1,True
raspi_005,2025-05-07 16:46:59.883128,multi,192.168.84.239,v3.0.1,10,67.8,0,1,1,False
raspi_010,2025-05-07 16:47:00.278582,cardio,192.168.140.84,v1.3.5,11,31.0,0,1,1,False
raspi_019,2025-05-07 16:47:02.039042,cardio,192.168.221.141,v2.0.1,28,62.0,0,1,1,False
raspi_007,2025-05-07 16:47:03.880389,multi,192.168.108.116,v2.2.1,15,8.3,0,1,1,True
raspi_012,2025-05-07 16:47:04.830423,thermique,192.168.66.50,v1.7.5,13,43.7,0,1,1,False
raspi_002,2025-05-07 16:47:04.938756,thermique,192.168.121.102,v2.5.1,25,57.3,0,1,1,False
raspi_009,2025-05-07 16:47:05.393778,thermique,192.168.110.211,v3.1.1,27,7.7,0,1,1,True
raspi_020,2025-05-07 16:47:05.937942,thermique,192.168.201.240,v3.6.5,27,64.1,0,1,1,False
raspi_003,2025-05-07 16:47:06.236973,cardio,192.168.236.131,v1.7.6,10,73.4,0,1,1,False
raspi_017,2025-05-07 16:47:06.259639,thermique,192.168.80.91,v2.3.4,24,73.7,0,0,1,True
raspi_014,2025-05-07 16:47:07.347498,thermique,192.168.72.19,v1.7.3,30,61.6,0,1,1,False
raspi_015,2025-05-07 16:47:07.964974,thermique,192.168.3.207,v1.4.5,18,9.6,0,1,2,True
raspi_018,2025-05-07 16:47:08.750816,multi,192.168.110.185,v1.9.9,11,75.6,0,1,1,False
raspi_021,2025-05-07 16:47:09.937842,cardio,192.168.123.108,v1.6.7,15,69.6,0,1,1,False
raspi_013,2025-05-07 16:47:11.198016,cardio,192.168.217.191,v2.7.8,14,77.9,0,1,1,False
raspi_001,2025-05-07 16:47:11.464911,thermique,192.168.156.234,v3.1.6,13,32.3,0,1,1,False
raspi_022,2025-05-07 16:47:13.910897,thermique,192.168.173.22,v3.8.5,26,40.9,0,1,1,False
raspi_008,2025-05-07 16:47:16.045295,multi,192.168.246.208,v1.6.9,20,55.9,1,1,1,True
raspi_023,2025-05-07 16:47:18.540534,multi,192.168.82.75,v2.1.6,14,32.1,0,1,1,False
raspi_011,2025-05-07 16:47:19.580731,multi,192.168.70.47,v3.4.4,25,56.9,0,1,1,False
raspi_004,2025-05-07 16:47:20.025197,cardio,192.168.62.118,v3.9.2,15,79.8,0,1,1,False
raspi_007,2025-05-07 16:47:21.061444,multi,192.168.144.146,v2.8.0,30,7.5,1,1,1,True
raspi_006,2025-05-07 16:47:21.862328,multi,192.168.196.206,v3.0.3,27,38.2,0,1,1,False
raspi_019,2025-05-07 16:47:22.177519,multi,192.168.123.40,v2.8.3,22,78.3,0,1,1,False
raspi_013,2025-05-07 16:47:22.342241,multi,192.168.75.134,v2.4.9,15,45.7,0,1,1,False
raspi_016,2025-05-07 16:47:22.394574,thermique,192.168.161.76,v2.5.7,18,53.6,0,1,1,False
raspi_015,2025-05-07 16:47:23.156622,cardio,192.168.100.6,v3.8.3,28,67.2,0,1,1,False
raspi_024,2025-05-07 16:47:23.426102,thermique,192.168.242.231,v3.7.3,19,76.0,0,1,1,False
raspi_010,2025-05-07 16:47:23.438706,cardio,192.168.62.67,v2.2.7,20,60.6,0,1,1,False
raspi_020,2025-05-07 16:47:24.086307,multi,192.168.106.109,v3.0.9,21,56.3,0,1,1,False
raspi_005,2025-05-07 16:47:25.029079,multi,192.168.41.17,v1.9.9,11,43.5,0,1,1,False
raspi_009,2025-05-07 16:47:25.590974,multi,192.168.192.190,v3.1.3,18,53.9,0,1,1,False
raspi_025,2025-05-07 16:47:27.817021,multi,192.168.27.42,v3.7.2,24,31.8,0,1,1,False
raspi_018,2025-05-07 16:47:28.896822,multi,192.168.93.38,v3.4.3,20,60.1,0,1,1,False
raspi_003,2025-05-07 16:47:29.493479,thermique,192.168.172.95,v2.9.5,16,69.1,1,1,1,True
raspi_022,2025-05-07 16:47:30.054266,thermique,192.168.144.13,v2.2.6,28,51.7,0,1,1,False
raspi_002,2025-05-07 16:47:30.105680,cardio,192.168.87.137,v3.4.7,16,56.3,0,1,1,False
raspi_017,2025-05-07 16:47:30.464565,thermique,192.168.20.22,v3.0.1,15,62.7,0,1,1,False
raspi_016,2025-05-07 16:47:32.642360,multi,192.168.226.23,v1.7.5,18,52.2,0,1,1,False
raspi_026,2025-05-07 16:47:32.863620,multi,192.168.206.105,v2.0.1,15,66.2,0,1,1,False
raspi_008,2025-05-07 16:47:33.277782,cardio,192.168.81.241,v3.4.8,19,8.2,1,1,1,True
raspi_011,2025-05-07 16:47:33.728361,multi,192.168.23.10,v1.9.2,29,44.8,0,1,1,False
raspi_012,2025-05-07 16:47:33.990761,multi,192.168.20.128,v1.3.5,23,77.9,0,1,1,False
raspi_021,2025-05-07 16:47:36.086286,thermique,192.168.135.30,v3.8.8,17,70.7,0,1,1,False
raspi_015,2025-05-07 16:47:36.346967,thermique,192.168.111.16,v1.3.1,12,71.8,0,1,1,False
raspi_014,2025-05-07 16:47:36.486204,thermique,192.168.43.183,v2.0.6,10,63.6,0,1,1,False
raspi_010,2025-05-07 16:47:36.681285,multi,192.168.67.161,v2.5.7,16,43.3,0,1,1,False
raspi_023,2025-05-07 16:47:37.695655,cardio,192.168.20.99,v1.8.5,15,37.6,0,1,1,False
raspi_020,2025-05-07 16:47:38.241600,cardio,192.168.229.5,v3.3.5,27,69.3,0,1,1,False
raspi_027,2025-05-07 16:47:38.318342,multi,192.168.117.124,v3.0.4,30,34.8,0,1,1,False
raspi_001,2025-05-07 16:47:38.642956,thermique,192.168.122.136,v1.7.1,19,45.3,0,1,1,False
raspi_024,2025-05-07 16:47:41.652597,cardio,192.168.114.233,v1.1.3,22,41.4,0,1,1,False
raspi_006,2025-05-07 16:47:43.002806,multi,192.168.162.189,v2.5.3,22,65.9,0,1,1,False
raspi_007,2025-05-07 16:47:43.238509,cardio,192.168.105.226,v1.8.8,26,33.9,0,1,1,False
raspi_028,2025-05-07 16:47:43.497055,cardio,192.168.44.213,v2.2.7,26,73.6,0,1,1,False
raspi_025,2025-05-07 16:47:43.991650,multi,192.168.227.65,v1.5.4,11,66.4,0,1,1,False
raspi_016,2025-05-07 16:47:44.835972,cardio,192.168.196.170,v2.7.8,14,31.8,0,1,1,False
raspi_004,2025-05-07 16:47:47.218289,cardio,192.168.160.63,v2.8.8,24,63.5,0,1,1,False
raspi_019,2025-05-07 16:47:47.432553,cardio,192.168.20.125,v3.9.5,13,63.9,0,1,1,False
raspi_017,2025-05-07 16:47:47.658566,multi,192.168.3.113,v3.2.7,13,51.2,1,1,1,True
raspi_011,2025-05-07 16:47:47.876248,multi,192.168.144.21,v2.8.8,24,61.6,0,1,1,False
raspi_022,2025-05-07 16:47:48.216197,cardio,192.168.225.79,v2.3.2,18,45.9,0,1,1,False
raspi_014,2025-05-07 16:47:48.669737,thermique,192.168.70.180,v2.1.1,16,41.5,0,1,1,False
raspi_009,2025-05-07 16:47:48.801752,thermique,192.168.181.8,v2.7.3,30,73.4,0,1,1,False
raspi_018,2025-05-07 16:47:49.077564,thermique,192.168.225.78,v1.6.0,27,73.1,0,1,1,False
raspi_005,2025-05-07 16:47:49.180891,multi,192.168.82.163,v2.7.7,16,49.7,0,1,1,False
raspi_029,2025-05-07 16:47:49.580772,thermique,192.168.158.37,v3.6.0,28,51.8,0,1,1,False
raspi_003,2025-05-07 16:47:49.678020,thermique,192.168.148.24,v3.8.2,10,73.4,0,1,1,False
raspi_013,2025-05-07 16:47:50.539493,cardio,192.168.142.113,v3.8.0,28,54.8,0,1,1,False
raspi_012,2025-05-07 16:47:51.158581,multi,192.168.34.23,v1.9.6,11,48.3,0,1,1,False
raspi_015,2025-05-07 16:47:53.607511,thermique,192.168.60.187,v2.0.1,14,32.1,0,1,1,False
raspi_010,2025-05-07 16:47:53.911889,multi,192.168.57.196,v1.9.4,29,72.9,0,1,1,False
raspi_027,2025-05-07 16:47:54.648809,cardio,192.168.238.147,v3.5.4,20,38.8,0,1,1,False
raspi_030,2025-05-07 16:47:55.009674,cardio,192.168.172.7,v1.7.8,20,70.6,0,1,1,False
raspi_026,2025-05-07 16:47:57.072073,multi,192.168.101.42,v2.8.7,22,38.4,0,1,1,False
raspi_016,2025-05-07 16:47:57.983210,thermique,192.168.68.66,v2.2.6,13,41.7,0,1,1,False
raspi_025,2025-05-07 16:47:58.167940,multi,192.168.118.36,v3.7.7,13,45.9,0,1,1,False
raspi_006,2025-05-07 16:47:59.140936,thermique,192.168.185.199,v3.8.4,23,40.5,0,1,1,False
raspi_002,2025-05-07 16:47:59.299795,cardio,192.168.70.171,v3.4.5,15,44.4,1,1,1,True
raspi_007,2025-05-07 16:47:59.445085,thermique,192.168.228.127,v1.8.8,21,55.6,0,1,1,False
raspi_008,2025-05-07 16:48:00.472436,cardio,192.168.79.86,v2.6.5,27,50.4,0,1,1,False
raspi_031,2025-05-07 16:48:01.315972,multi,192.168.17.250,v1.5.5,23,66.5,0,1,1,False
raspi_024,2025-05-07 16:48:01.805497,thermique,192.168.49.85,v1.2.5,20,55.0,0,1,1,False
raspi_021,2025-05-07 16:48:02.266414,thermique,192.168.37.17,v3.3.7,16,44.0,0,1,1,False
raspi_029,2025-05-07 16:48:02.798728,cardio,192.168.10.9,v1.4.5,30,45.8,0,1,1,False
raspi_028,2025-05-07 16:48:03.723832,cardio,192.168.241.142,v1.2.4,13,32.6,0,1,1,False
raspi_020,2025-05-07 16:48:04.591252,cardio,192.168.206.37,v2.0.6,24,70.1,0,1,1,False
raspi_004,2025-05-07 16:48:05.416825,multi,192.168.105.214,v2.7.3,28,59.4,0,1,1,False
raspi_032,2025-05-07 16:48:07.685848,cardio,192.168.28.70,v1.1.7,22,57.7,0,1,1,False
raspi_023,2025-05-07 16:48:07.843177,multi,192.168.205.34,v2.9.7,23,47.0,0,1,1,False
raspi_026,2025-05-07 16:48:08.266274,multi,192.168.152.238,v2.8.9,16,40.1,0,1,1,False
raspi_005,2025-05-07 16:48:08.444945,thermique,192.168.163.247,v3.4.6,10,7.7,1,1,1,True
raspi_001,2025-05-07 16:48:08.847654,multi,192.168.178.26,v1.2.5,26,9.3,0,1,1,True
raspi_017,2025-05-07 16:48:08.921509,multi,192.168.220.69,v3.1.9,26,54.7,0,1,1,False
raspi_007,2025-05-07 16:48:09.688763,cardio,192.168.187.114,v3.1.9,24,43.1,0,1,1,False
raspi_014,2025-05-07 16:48:09.819931,cardio,192.168.179.89,v3.6.3,28,33.8,0,1,1,False
raspi_022,2025-05-07 16:48:10.407011,thermique,192.168.23.126,v1.3.0,10,78.4,0,1,1,False
raspi_011,2025-05-07 16:48:11.071755,thermique,192.168.199.204,v1.0.5,30,42.4,0,1,1,False
raspi_009,2025-05-07 16:48:11.963927,cardio,192.168.153.135,v3.9.2,20,74.3,0,1,1,False
raspi_018,2025-05-07 16:48:12.317530,multi,192.168.6.234,v3.6.9,11,30.5,0,1,2,True
raspi_021,2025-05-07 16:48:13.407997,multi,192.168.42.97,v3.5.9,27,57.7,0,1,1,False
raspi_015,2025-05-07 16:48:13.794397,thermique,192.168.109.193,v2.9.2,18,45.2,0,1,1,False
raspi_033,2025-05-07 16:48:13.781262,multi,192.168.200.129,v1.6.9,21,48.3,1,0,1,True
raspi_003,2025-05-07 16:48:15.939627,multi,192.168.30.85,v3.4.1,13,47.0,0,1,1,False
raspi_010,2025-05-07 16:48:16.073783,multi,192.168.85.37,v2.4.3,30,76.7,0,1,1,False
raspi_006,2025-05-07 16:48:16.322273,multi,192.168.42.227,v1.7.6,18,48.1,0,1,1,False
raspi_019,2025-05-07 16:48:16.638721,multi,192.168.65.218,v3.1.2,13,52.0,0,1,1,False
raspi_008,2025-05-07 16:48:17.614039,thermique,192.168.114.44,v1.5.8,22,72.6,0,1,1,False
raspi_002,2025-05-07 16:48:18.498605,cardio,192.168.214.237,v2.1.7,21,32.3,0,1,1,False
raspi_023,2025-05-07 16:48:19.014706,multi,192.168.82.114,v1.8.5,18,41.4,0,1,1,False
raspi_012,2025-05-07 16:48:19.311697,thermique,192.168.114.184,v2.4.9,12,32.8,0,1,1,False
raspi_013,2025-05-07 16:48:19.733975,multi,192.168.209.157,v2.0.3,29,5.3,0,1,1,True
raspi_001,2025-05-07 16:48:20.154758,multi,192.168.69.234,v2.4.6,30,64.6,0,1,1,False
raspi_031,2025-05-07 16:48:20.502528,thermique,192.168.180.192,v2.4.8,21,79.1,0,1,1,False
raspi_027,2025-05-07 16:48:20.788283,thermique,192.168.80.23,v3.7.6,21,65.9,0,1,1,False
raspi_034,2025-05-07 16:48:21.006810,multi,192.168.218.228,v3.4.7,27,59.7,0,1,1,False
raspi_030,2025-05-07 16:48:22.212612,cardio,192.168.202.147,v3.0.8,17,33.9,0,1,1,False
raspi_024,2025-05-07 16:48:23.941837,thermique,192.168.53.183,v3.8.2,24,38.6,0,1,1,False
raspi_009,2025-05-07 16:48:25.166526,multi,192.168.208.208,v3.4.2,17,73.7,0,1,1,False
raspi_022,2025-05-07 16:48:26.593304,multi,192.168.45.130,v2.2.9,18,76.8,0,1,1,False
raspi_028,2025-05-07 16:48:26.913561,thermique,192.168.199.207,v3.1.6,28,56.4,0,1,1,False
raspi_015,2025-05-07 16:48:27.013540,multi,192.168.135.22,v2.1.6,16,42.8,0,1,1,False
raspi_035,2025-05-07 16:48:27.160012,cardio,192.168.172.198,v2.8.9,23,68.8,0,1,1,False
raspi_016,2025-05-07 16:48:27.128581,cardio,192.168.179.79,v3.1.4,23,60.2,0,1,1,False
raspi_008,2025-05-07 16:48:27.948715,cardio,192.168.106.140,v2.2.7,28,68.1,0,1,1,False
raspi_029,2025-05-07 16:48:28.007973,cardio,192.168.205.90,v1.6.0,11,59.1,0,1,1,False
raspi_025,2025-05-07 16:48:28.362554,thermique,192.168.86.157,v1.4.0,23,72.1,0,1,1,False
raspi_026,2025-05-07 16:48:28.444674,thermique,192.168.15.97,v2.6.3,30,56.5,0,1,1,False
raspi_017,2025-05-07 16:48:29.244887,thermique,192.168.75.22,v2.2.2,30,61.6,0,1,1,False
raspi_011,2025-05-07 16:48:30.237489,cardio,192.168.80.68,v1.7.9,27,32.8,0,1,1,False
raspi_001,2025-05-07 16:48:30.361637,thermique,192.168.23.200,v2.7.8,29,5.5,0,1,1,True
raspi_018,2025-05-07 16:48:30.529054,thermique,192.168.202.252,v2.2.9,20,38.1,0,1,1,False
raspi_033,2025-05-07 16:48:31.044569,cardio,192.168.21.204,v2.8.8,30,58.5,0,1,1,False
raspi_021,2025-05-07 16:48:31.598481,cardio,192.168.25.218,v3.3.8,19,51.4,0,1,1,False
raspi_007,2025-05-07 16:48:31.865302,thermique,192.168.128.125,v3.7.5,13,61.7,0,1,1,False
raspi_003,2025-05-07 16:48:32.107550,thermique,192.168.105.221,v1.2.7,19,55.1,0,1,1,False
raspi_004,2025-05-07 16:48:33.569358,multi,192.168.130.145,v1.5.8,22,68.5,0,1,1,False
raspi_036,2025-05-07 16:48:34.112565,thermique,192.168.205.190,v2.3.9,16,43.3,0,1,1,False
raspi_020,2025-05-07 16:48:34.731313,thermique,192.168.110.149,v3.4.6,27,48.8,1,1,1,True
raspi_014,2025-05-07 16:48:36.021101,thermique,192.168.92.219,v3.2.1,30,37.6,0,1,1,False
raspi_030,2025-05-07 16:48:36.601626,cardio,192.168.153.131,v3.7.0,27,33.4,0,1,1,False
raspi_012,2025-05-07 16:48:36.597957,multi,192.168.14.82,v1.4.2,16,53.6,0,1,1,False
raspi_032,2025-05-07 16:48:36.860486,cardio,192.168.69.103,v3.1.9,11,69.1,0,1,1,False
raspi_005,2025-05-07 16:48:37.628721,thermique,192.168.238.11,v3.9.8,24,66.8,0,1,1,False
raspi_015,2025-05-07 16:48:38.305635,multi,192.168.31.156,v3.5.2,30,46.0,0,1,1,False
raspi_025,2025-05-07 16:48:38.551460,multi,192.168.78.254,v2.2.7,13,54.1,0,1,1,False
raspi_026,2025-05-07 16:48:39.620496,cardio,192.168.149.220,v3.7.6,27,71.2,0,1,1,False
raspi_031,2025-05-07 16:48:39.690901,multi,192.168.79.133,v1.0.1,13,35.2,0,1,1,False
raspi_019,2025-05-07 16:48:39.813807,thermique,192.168.187.162,v1.3.3,17,67.5,0,1,1,False
raspi_028,2025-05-07 16:48:40.114567,thermique,192.168.24.14,v3.7.2,22,59.7,0,1,1,False
raspi_009,2025-05-07 16:48:40.342230,cardio,192.168.43.27,v2.8.9,28,66.5,1,1,1,True
raspi_006,2025-05-07 16:48:40.510995,multi,192.168.38.77,v2.6.7,14,75.6,0,1,1,False
raspi_037,2025-05-07 16:48:41.517502,thermique,192.168.213.233,v3.8.2,20,43.8,0,1,1,False
raspi_002,2025-05-07 16:48:41.775851,thermique,192.168.5.240,v3.0.4,17,49.7,0,1,1,False
raspi_013,2025-05-07 16:48:42.044281,cardio,192.168.137.70,v2.5.8,30,69.5,0,1,1,False
raspi_008,2025-05-07 16:48:42.117847,multi,192.168.119.204,v3.0.9,16,38.4,0,1,1,False
raspi_029,2025-05-07 16:48:44.210012,cardio,192.168.253.81,v2.1.8,25,35.9,0,1,1,False
raspi_003,2025-05-07 16:48:44.298447,thermique,192.168.113.173,v2.2.5,10,74.8,0,1,1,False
raspi_010,2025-05-07 16:48:44.304600,multi,192.168.203.214,v3.3.0,19,9.7,0,1,1,True
raspi_011,2025-05-07 16:48:45.385090,cardio,192.168.44.97,v2.8.8,19,75.2,0,1,1,False
raspi_027,2025-05-07 16:48:45.976592,thermique,192.168.228.110,v3.0.1,28,8.5,0,1,1,True
raspi_038,2025-05-07 16:48:48.572357,cardio,192.168.143.141,v3.0.7,28,73.1,0,1,1,False
raspi_034,2025-05-07 16:48:49.239737,cardio,192.168.93.134,v3.7.2,16,8.6,0,1,1,True
raspi_023,2025-05-07 16:48:49.273082,cardio,192.168.107.104,v1.5.6,16,57.5,0,1,1,False
raspi_035,2025-05-07 16:48:49.378249,multi,192.168.97.174,v2.9.0,19,74.8,0,1,1,False
raspi_024,2025-05-07 16:48:52.102760,multi,192.168.30.171,v1.3.6,20,73.2,0,1,1,False
raspi_036,2025-05-07 16:48:52.294621,thermique,192.168.168.36,v3.3.2,23,32.5,0,1,1,False
raspi_033,2025-05-07 16:48:52.270570,cardio,192.168.215.135,v1.2.0,15,68.4,0,1,1,False
raspi_015,2025-05-07 16:48:53.478600,multi,192.168.170.200,v2.2.4,10,66.8,0,1,1,False
raspi_018,2025-05-07 16:48:53.738927,multi,192.168.70.95,v3.8.9,12,37.3,0,1,1,False
raspi_014,2025-05-07 16:48:54.205841,multi,192.168.99.17,v1.8.3,15,58.1,0,1,1,False
raspi_004,2025-05-07 16:48:54.750803,cardio,192.168.197.186,v3.4.3,26,72.9,0,1,1,False
raspi_037,2025-05-07 16:48:55.698797,cardio,192.168.131.10,v3.0.2,18,70.3,0,1,1,False
raspi_025,2025-05-07 16:48:55.791537,multi,192.168.67.1,v1.4.6,16,62.7,0,1,1,False
raspi_020,2025-05-07 16:48:55.890622,thermique,192.168.103.158,v3.9.0,29,73.3,0,1,1,False
raspi_008,2025-05-07 16:48:56.295167,cardio,192.168.156.241,v3.9.3,13,51.6,0,1,1,False
raspi_017,2025-05-07 16:48:56.387265,cardio,192.168.142.25,v2.1.8,26,56.6,0,1,1,False
raspi_039,2025-05-07 16:48:56.614982,multi,192.168.33.151,v1.8.8,17,74.5,0,1,1,False
raspi_022,2025-05-07 16:48:56.785922,thermique,192.168.215.103,v1.1.4,18,41.7,0,1,1,False
raspi_019,2025-05-07 16:48:56.990983,multi,192.168.210.216,v2.2.8,11,47.7,0,1,1,False
raspi_016,2025-05-07 16:48:57.402944,thermique,192.168.28.46,v3.1.6,14,74.7,0,1,1,False
raspi_012,2025-05-07 16:48:57.808490,thermique,192.168.129.196,v1.1.7,27,37.0,0,1,1,False
raspi_026,2025-05-07 16:48:57.831351,thermique,192.168.233.137,v1.8.9,19,36.0,0,1,1,False
raspi_007,2025-05-07 16:48:58.115706,thermique,192.168.62.137,v2.9.1,18,68.5,0,1,1,False
raspi_001,2025-05-07 16:48:58.589539,multi,192.168.103.193,v2.5.3,25,34.1,0,1,1,False
raspi_029,2025-05-07 16:48:59.398731,cardio,192.168.34.34,v2.0.2,15,68.8,0,1,1,False
raspi_009,2025-05-07 16:48:59.525292,thermique,192.168.201.120,v2.8.3,16,67.0,0,1,1,False
raspi_032,2025-05-07 16:49:00.052915,cardio,192.168.176.217,v1.0.9,15,61.2,0,1,1,False
raspi_006,2025-05-07 16:49:00.696699,cardio,192.168.246.241,v2.1.2,13,56.9,0,1,1,False
raspi_021,2025-05-07 16:49:00.776471,multi,192.168.178.231,v2.2.0,30,35.3,0,0,1,True
raspi_013,2025-05-07 16:49:01.282739,cardio,192.168.192.50,v2.1.9,22,58.4,0,1,1,False
raspi_034,2025-05-07 16:49:02.394112,multi,192.168.3.76,v2.1.9,23,48.1,0,1,1,False
raspi_010,2025-05-07 16:49:02.528626,multi,192.168.227.220,v2.5.6,11,40.5,0,1,1,False
raspi_030,2025-05-07 16:49:02.797936,cardio,192.168.99.85,v2.5.3,19,52.3,0,1,1,False
raspi_040,2025-05-07 16:49:04.059853,cardio,192.168.85.216,v1.7.7,21,77.6,0,1,1,False
raspi_011,2025-05-07 16:49:05.523308,cardio,192.168.92.219,v2.6.7,17,78.2,0,0,1,True
raspi_035,2025-05-07 16:49:05.564559,thermique,192.168.185.228,v3.2.7,12,42.7,0,1,1,False
raspi_005,2025-05-07 16:49:05.776853,thermique,192.168.213.166,v2.2.3,29,78.7,0,1,1,False
raspi_002,2025-05-07 16:49:05.999765,multi,192.168.97.36,v2.8.2,26,53.7,0,1,1,False
raspi_018,2025-05-07 16:49:06.913311,thermique,192.168.109.76,v1.5.8,26,34.0,1,0,1,True
raspi_019,2025-05-07 16:49:07.214369,thermique,192.168.206.103,v2.4.7,27,52.2,0,1,1,False
raspi_028,2025-05-07 16:49:07.303799,cardio,192.168.181.130,v2.3.6,28,73.1,0,1,1,False
raspi_014,2025-05-07 16:49:07.358282,thermique,192.168.231.57,v2.3.1,23,53.7,0,1,1,False
raspi_007,2025-05-07 16:49:08.324522,thermique,192.168.192.14,v2.4.1,23,39.4,0,1,1,False
raspi_037,2025-05-07 16:49:08.905843,thermique,192.168.106.141,v2.9.5,11,53.7,0,1,1,False
raspi_017,2025-05-07 16:49:09.804317,thermique,192.168.207.177,v2.1.8,26,45.0,0,1,1,False
raspi_031,2025-05-07 16:49:09.939368,multi,192.168.133.1,v3.8.5,23,55.6,0,1,1,False
raspi_006,2025-05-07 16:49:10.885800,cardio,192.168.58.223,v2.5.4,26,34.8,0,1,1,False
raspi_041,2025-05-07 16:49:12.062748,multi,192.168.94.197,v3.4.3,17,39.4,0,1,1,False
raspi_027,2025-05-07 16:49:12.131084,cardio,192.168.234.90,v2.2.1,17,46.4,0,1,1,False
raspi_003,2025-05-07 16:49:12.519496,thermique,192.168.250.39,v3.2.8,28,77.3,0,1,1,False
raspi_036,2025-05-07 16:49:12.509760,multi,192.168.37.57,v2.2.1,16,35.6,0,1,1,False
raspi_038,2025-05-07 16:49:13.705994,thermique,192.168.214.119,v2.0.4,15,59.9,0,1,1,False
raspi_022,2025-05-07 16:49:14.179934,multi,192.168.99.48,v3.8.4,29,53.3,0,1,1,False
raspi_012,2025-05-07 16:49:15.066530,multi,192.168.123.128,v1.0.1,18,71.7,0,1,1,False
raspi_023,2025-05-07 16:49:15.493396,multi,192.168.68.154,v3.2.3,23,38.1,0,1,1,False
raspi_021,2025-05-07 16:49:15.952407,multi,192.168.174.15,v3.6.9,30,42.0,0,1,1,False
raspi_040,2025-05-07 16:49:17.238797,cardio,192.168.232.146,v2.1.3,16,47.4,0,1,1,False
raspi_028,2025-05-07 16:49:19.500346,thermique,192.168.61.30,v1.5.6,14,42.5,0,1,1,False
raspi_035,2025-05-07 16:49:19.783848,multi,192.168.172.33,v1.1.9,15,59.0,0,1,1,False
raspi_010,2025-05-07 16:49:19.725059,multi,192.168.53.115,v3.1.9,11,58.6,0,1,1,False
raspi_024,2025-05-07 16:49:20.245705,thermique,192.168.178.230,v1.6.2,15,30.2,0,1,1,False
raspi_042,2025-05-07 16:49:20.295358,thermique,192.168.31.165,v3.6.7,23,79.9,0,1,1,False
raspi_013,2025-05-07 16:49:20.462635,multi,192.168.174.178,v1.4.6,24,44.0,0,1,1,False
raspi_033,2025-05-07 16:49:20.483677,multi,192.168.93.105,v1.5.2,22,35.2,0,1,1,False
raspi_015,2025-05-07 16:49:20.615854,cardio,192.168.147.25,v2.5.5,30,76.3,0,1,1,False
raspi_025,2025-05-07 16:49:20.987815,multi,192.168.163.90,v1.2.1,19,50.4,0,1,1,False
raspi_039,2025-05-07 16:49:20.958384,cardio,192.168.84.119,v3.4.5,18,46.7,0,1,1,False
